Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Age population, age 00, female, interpolated",SP.POP.AG00.FE.IN,Lao PDR,LAO,41221,42089,43005.5,43943.5,44911.5,45926.5,46966.5,48069.5,49244.5,50469,51825,53165.5,54472.5,55875,57361.5,58747.5,59858.5,60715.5,61412.5,62201,63282.5,64670.5,66386.5,68350.5,70476.5,72626.5,74695,76706,78687.5,80717.5,82700,84540.5,86041,87178,87541.5,87096.5,86553.5,86391.5,85951,84977.5,84232,83432.5,82236.5,80626.5,79090,79308,80183.5,80028,79650.5,79188,78621.5,78024,77554.5,77254,76856,77456,78446.5,78502.5,78268,77941.5,77816.5,77600,77127.5
"Age population, age 00, male, interpolated",SP.POP.AG00.MA.IN,Lao PDR,LAO,42290,43193.5,44155,45134,46138,47201,48297.5,49447.5,50675,51959.5,53373,54771,56137,57602.5,59162.5,60611.5,61773,62681,63418.5,64254.5,65391,66840,68634,70688.5,72915,75160,77320,79436,81504.5,83612,85727,87728.5,89352.5,90599,91067.5,90673.5,90115,90098.5,89835.5,88858,88046.5,87060.5,85654.5,84007,82280,82526,83712,83592.5,83185,82717.5,82181.5,81636,81221.5,80932.5,80360,80831.5,81889,82023,81840,81532,81428,81209,80656.5
"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,Lao PDR,LAO,36692.5,37473,38315.5,39213.5,40132,41072,42043,43058,44147.5,45289.5,46481.5,47793,49097,50364,51701.5,53097,54374,55407,56241.5,56999.5,57916.5,59109.5,60566.5,62320.5,64300,66433.5,68593.5,70678,72713.5,74726,76820,78913.5,80876.5,82509,83784,84311,84058.5,83011,82195.5,81866.5,81201,80735,80146.5,79055.5,77491,76154.5,76530.5,77471,77477,77218.5,76847.5,76355,75828.5,75445.5,75246.5,75506.5,76730.5,77763.5,77857.5,77656.5,77366,77272,77111.5
"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,Lao PDR,LAO,37239,38052.5,38930.5,39866,40817,41789.5,42806.5,43874,45007,46198,47441.5,48805.5,50159,51483.5,52881.5,54340.5,55675.5,56756,57645.5,58453,59425.5,60681,62209.5,64044,66108.5,68335.5,70586,72760,74899.5,76998,79129,81270.5,83308.5,84992.5,86319,86928,86752.5,85727.5,85061,84914.5,84259.5,83717,82927.5,81636.5,80085.5,78684.5,79157.5,80383,80423.5,80143,79780,79334,78880,78576.5,78408,78645,79891.5,81002.5,81185.5,81049,80789,80722,80553
"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,Lao PDR,LAO,34372.5,35131,35900,36740.5,37634,38539.5,39460.5,40423,41437,42515.5,43646.5,44825,46124,47403.5,48632.5,49918,51239.5,52455.5,53466.5,54332,55170.5,56166.5,57414.5,58912,60693,62696.5,64853.5,67038,69145,71199,73228.5,75344,77459,79441,81101,82418,82998,82233.5,80712,79940,79732.5,79320.5,79078.5,78650.5,77615.5,76099.5,74876,75296.5,76286,76416.5,76232.5,75904.5,75440,74943.5,74608,74656.5,75145.5,76391.5,77443,77555,77375,77101,77012.5
"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,Lao PDR,LAO,34820,35613.5,36419.5,37291.5,38216.5,39155,40109.5,41119,42185.5,43306,44482,45712,47061.5,48398,49688.5,51029.5,52413.5,53684.5,54745,55671,56564.5,57624.5,58949,60529,62391.5,64471.5,66715,68985,71184.5,73345,75455.5,77599,79757.5,81813.5,83515.5,84878,85541.5,84761.5,83156.5,82495.5,82436,82012.5,81655,80990,79755,78355.5,77192.5,77718,78960.5,79115,78913.5,78608.5,78202,77788,77546.5,77720.5,78275.5,79542.5,80661.5,80856,80737,80492,80431.5
"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,Lao PDR,LAO,32793,33481,34232.5,34999,35836,36723,37616.5,38529,39489.5,40494.5,41563,42686.5,43855.5,45135.5,46382.5,47567.5,48793.5,50062.5,51258,52284.5,53202.5,54100,55140,56418.5,57937,59734.5,61752.5,63921.5,66116.5,68232,70289.5,72325.5,74446.5,76564,78548.5,80220.5,81557.5,81834.5,80816.5,79404,78630,78471,78244,78168.5,77845.5,76765.5,75225,74100.5,74541,75552,75769.5,75627.5,75317,74856,74363,74186.5,74401,74907.5,76163,77224.5,77349.5,77178,76909.5
"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,Lao PDR,LAO,33183.5,33910,34696,35496.5,36361,37277.5,38204.5,39151.5,40157,41214.5,42325.5,43493,44715,46050.5,47358.5,48605.5,49888.5,51220.5,52469.5,53549.5,54533,55487.5,56598.5,57959.5,59558,61431,63520.5,65770,68045.5,70248.5,72407,74519.5,76666,78824.5,80877.5,82587.5,83968,84392.5,83391.5,81854,81171.5,81157.5,80914.5,80691.5,80089.5,78844.5,77499.5,76473,76999,78215,78436,78265.5,77971,77564.5,77156,77086,77436,78008,79282,80407.5,80613,80503.5,80264.5
"Age population, age 04, female, interpolated",SP.POP.AG04.FE.IN,Lao PDR,LAO,31604.5,32262,32947,33696,34460,35293.5,36172,37058.5,37970,38924,39921.5,40985.5,42101.5,43258,44511,45720.5,46858,48042,49294.5,50497.5,51560.5,52523,53454.5,54518,55813,57345,59153,61178,63352,65550.5,67664,69720,71756.5,73874.5,75984.5,77967.5,79645.5,80735,80725.5,79724,78400.5,77602,77479,77423.5,77498,77202,76039.5,74516.5,73495.5,73945,74969.5,75267.5,75160.5,74858,74388.5,74029,74001.5,74229.5,74741.5,76002.5,77071,77200,77034
"Age population, age 04, male, interpolated",SP.POP.AG04.MA.IN,Lao PDR,LAO,31958.5,32652,33372.5,34153.5,34950,35809.5,36717,37638,38583,39582,40633,41739,42901.5,44114.5,45426.5,46699,47900.5,49143,50455,51714,52835,53863,54856,55994,57368,58974.5,60854,62946,65194.5,67466,69662,71817.5,73927.5,76068,78217,80265.5,81979.5,83223.5,83423,82359,80874.5,80151,80165.5,80082.5,79972.5,79393.5,78107.5,76814,75917.5,76435.5,77618,77895,77745,77454,77040,76776,76864,77228,77807,79084.5,80215.5,80427.5,80323.5
"Age population, age 05, female, interpolated",SP.POP.AG05.FE.IN,Lao PDR,LAO,30603.5,31270.5,31926,32609,33356,34119,34946.5,35819,36705.5,37612.5,38560.5,39555.5,40614,41720.5,42856.5,44078.5,45248,46351,47523,48780.5,50009.5,51107,52096,53045,54121.5,55428,56969,58782,60810.5,62986.5,65180.5,67289.5,69342.5,71374,73482.5,75586,77568,79061.5,79917,79816.5,78821.5,77579,76751,76655.5,76760,76926,76628,75419.5,73921.5,72994.5,73450.5,74484,74855.5,74777.5,74475.5,74121,73890,73873,74104,74621,75887,76956.5,77089.5
"Age population, age 05, male, interpolated",SP.POP.AG05.MA.IN,Lao PDR,LAO,30942,31631,32319.5,33037,33815,34608,35461.5,36364.5,37284,38224.5,39219,40267,41370,42525.5,43721,45004.5,46238.5,47407,48634.5,49954.5,51244,52397.5,53454,54467,55614.5,56996,58608.5,60489,62578.5,64821,67084.5,69276.5,71427,73529,75658.5,77799,79844.5,81496,82616,82666.5,81533.5,80090,79317,79347.5,79408.5,79374.5,78798,77486,76246,75471,75974,77120,77448,77310.5,77015,76726.5,76600,76698.5,77068.5,77652,78933.5,80067.5,80283
"Age population, age 06, female, interpolated",SP.POP.AG06.FE.IN,Lao PDR,LAO,29787.5,30377.5,31043.5,31698.5,32380,33126,33884.5,34707.5,35580.5,36463.5,37365.5,38312,39303,40355,41445.5,42556,43744,44885,45979,47154.5,48433,49689.5,50807,51810,52770,53855.5,55169,56714,58530.5,60560.5,62731.5,64920,67024.5,69072,71093.5,73194.5,75296,77132.5,78450,79219.5,79024,78036.5,76873,76008.5,75933.5,76197.5,76435.5,76123,74874.5,73395,72561,73020.5,74059,74499.5,74444.5,74253.5,74013,73790.5,73774.5,74009,74530.5,75796.5,76869
"Age population, age 06, male, interpolated",SP.POP.AG06.MA.IN,Lao PDR,LAO,30107.5,30725,31410.5,32097,32812.5,33588.5,34377,35227,36129,37044.5,37981.5,38974.5,40021,41119,42260.5,43433,44684.5,45890.5,47046.5,48280.5,49625,50940,52116,53188.5,54209,55362,56748,58362,60240.5,62325,64560,66818.5,69004.5,71146.5,73238.5,75359.5,77495,79509.5,81107,82139.5,82040.5,80834,79424.5,78592.5,78631,78872.5,78901,78278.5,76944.5,75753.5,75094,75582,76690,77061,76930,76751,76583.5,76465.5,76570,76943.5,77530,78813.5,79949.5
"Age population, age 07, female, interpolated",SP.POP.AG07.FE.IN,Lao PDR,LAO,29056,29621.5,30211,30875.5,31529,32210.5,32953.5,33709,34532.5,35402,36281,37182.5,38126,39112,40150.5,41219,42302,43466.5,44599,45696.5,46889.5,48189.5,49462.5,50591,51602.5,52570.5,53662.5,54980,56528,58346,60371.5,62537,64721,66819.5,68858.5,70873.5,72971,74948.5,76645,77909,78592,78307.5,77329,76238.5,75331,75313,75731.5,75997.5,75668,74376.5,72916.5,72172,72629.5,73670,74177,74246,74166,73931.5,73710,73698,73936,74457.5,75725.5
"Age population, age 07, male, interpolated",SP.POP.AG07.MA.IN,Lao PDR,LAO,29351,29952.5,30567,31250,31935.5,32649.5,33421.5,34207.5,35056.5,35956,36869.5,37805.5,38797.5,39839.5,40926,42049,43195,44423,45618.5,46780.5,48035,49399.5,50732,51920,52998,54023.5,55181.5,56569,58181,60056,62134,64364,66617,68795,70928,73011.5,75127,77226,79215.5,80798,81744,81494,80211,78829.5,77932.5,78020.5,78447,78491.5,77816,76457.5,75311.5,74766.5,75238,76302,76710.5,76696,76632.5,76472.5,76358.5,76466,76842.5,77431,78716
"Age population, age 08, female, interpolated",SP.POP.AG08.FE.IN,Lao PDR,LAO,28321.5,28921.5,29486.5,30076,30739.5,31392.5,32071.5,32812,33568,34389,35255.5,36134,37033,37972,38947,39967.5,41012.5,42075,43232,44368,45481,46693,48006.5,49288,50423.5,51441,52414.5,53510,54830,56379.5,58194,60215.5,62377,64555.5,66646.5,68679.5,70692,72618.5,74474.5,76198.5,77409,78012,77641.5,76668,75645.5,74794.5,74837,75306,75592.5,75243.5,73909.5,72466.5,71807.5,72261.5,73302.5,73977,74171,74097,73863,73644,73635,73873,74397
"Age population, age 08, male, interpolated",SP.POP.AG08.MA.IN,Lao PDR,LAO,28597.5,29228.5,29827.5,30441,31123,31807,32518,33288,34074,34921,35818,36731,37666.5,38654.5,39687.5,40758,41858,42985,44204.5,45404.5,46584,47856,49234.5,50576.5,51768.5,52850.5,53880.5,55040,56426,58035,59904.5,61978.5,64203.5,66449,68619,70744.5,72823.5,74823,76889,78969.5,80537.5,81398,80997,79633.5,78274.5,77384.5,77530,78066.5,78119.5,77390,76004,74903,74472.5,74922.5,75938.5,76491.5,76593.5,76536.5,76380.5,76269,76379,76757.5,77348
"Age population, age 09, female, interpolated",SP.POP.AG09.FE.IN,Lao PDR,LAO,27677.5,28203.5,28803.5,29368,29956.5,30620,31271,31948,32688.5,33442,34260.5,35127,36003.5,36898,37827.5,38787.5,39788,40816,41872.5,43031.5,44180,45309.5,46533.5,47854.5,49142,50282.5,51304.5,52281.5,53380,54702,56249,58060,60078,62234.5,64405.5,66490.5,68521,70400,72157,74022,75773.5,76937,77463.5,77004,76032.5,75104,74327,74401.5,74900.5,75206,74840.5,73463.5,72034,71459,71908,73067,73911,74110,74036.5,73804.5,73588.5,73580,73820
"Age population, age 09, male, interpolated",SP.POP.AG09.MA.IN,Lao PDR,LAO,27948.5,28493,29121.5,29719.5,30332,31013,31694.5,32404,33174,33957.5,34803,35700,36612,37544.5,38525,39544,40595,41679,42799,44022,45237,46432,47716.5,49103,50448,51643,52728,53759,54918,56302.5,57907,59773,61843,64061.5,66299,68462.5,70584,72511.5,74397,76579,78751,80306,81081.5,80528,79080,77712,76844.5,77078,77712,77773,76987.5,75575.5,74519.5,74198,74622.5,75702,76401.5,76509,76455,76301,76192,76304,76684
"Age population, age 10, female, interpolated",SP.POP.AG10.FE.IN,Lao PDR,LAO,26062.5,27566.5,28092.5,28692,29255.5,29843.5,30505,31154.5,31832,32571,33322.5,34140.5,35004.5,35877,36763.5,37679,38621,39606.5,40629,41688,42858,44020.5,45161,46392.5,47718.5,49010.5,50155,51179.5,52159.5,53260.5,54581,56125,57933,59946.5,62096,64262,66345,68250,69996.5,71706.5,73580.5,75365.5,76485.5,76934,76384,75407,74576,73878,73979,74507.5,74834.5,74451.5,73028.5,71611,71118.5,71727,73005.5,73853.5,74053,73981,73752.5,73537,73530
"Age population, age 10, male, interpolated",SP.POP.AG10.MA.IN,Lao PDR,LAO,25267,27851.5,28394.5,29022.5,29619.5,30231,30909.5,31589.5,32299,33067,33849.5,34695,35591.5,36501.5,37427,38395,39397.5,40434,41510.5,42633.5,43870,45098.5,46305,47596.5,48985,50333,51531,52616.5,53647.5,54805,56185.5,57788,59650.5,61714.5,63926.5,66157.5,68316,70234,72012.5,73985,76284.5,78550,80093,80782,80072,78464,77082.5,76313.5,76642.5,77374,77442.5,76603,75165.5,74149.5,73934,74476,75619.5,76322.5,76433,76381,76229.5,76123,76236.5
"Age population, age 11, female, interpolated",SP.POP.AG11.FE.IN,Lao PDR,LAO,24940.5,25956,27456,27981.5,28579.5,29143.5,29730.5,30390,31039.5,31715,32452,33203.5,34019.5,34880.5,35744.5,36616.5,37515,38441.5,39421,40447,41517,42700,43874.5,45023.5,46259.5,47589.5,48885,50032,51059.5,52041.5,53141,54459,56000.5,57804.5,59811.5,61956.5,64120,66078,67859.5,69596,71258.5,73146.5,74968.5,76044,76413,75752,74767,74053,73436,73563.5,74124,74471.5,74069,72600,71194,70897.5,71665.5,72948.5,73796.5,73998,73929,73700.5,73487
"Age population, age 11, male, interpolated",SP.POP.AG11.MA.IN,Lao PDR,LAO,23471,25181,27757,28299,28925.5,29521.5,30131,30808,31488,32196,32962.5,33745,34590,35484,36387.5,37301,38252.5,39240.5,40270.5,41351,42487,43736.5,44975.5,46188.5,47483,48874.5,50224.5,51422.5,52508,53538,54692.5,56071,57670,59527.5,61585,63790.5,66017.5,67936.5,69653.5,71520,73580,75999,78358.5,79887.5,80487.5,79483,77701.5,76445.5,75792,76218,77046,77123.5,76231.5,74765,73787,73737,74394.5,75541.5,76247.5,76360,76310.5,76161,76056
"Age population, age 12, female, interpolated",SP.POP.AG12.FE.IN,Lao PDR,LAO,25018.5,24834,25847.5,27342.5,27867.5,28465.5,29027.5,29612.5,30272,30920.5,31594.5,32330.5,33080,33892.5,34744,35592,36443.5,37324.5,38245,39228,40266.5,41352.5,42549,43732,44886.5,46128,47462.5,48760,49909,50938,51918.5,53016,54331,55868.5,57666,59667,61808,63825,65663,67467.5,69194,70813.5,72719,74576.5,75606,75789,75012,74126.5,73534.5,72998,73154,73746,74113,73690,72173.5,70931,70830,71603,72886.5,73736,73940.5,73872,73645
"Age population, age 12, male, interpolated",SP.POP.AG12.MA.IN,Lao PDR,LAO,23775,23387.5,25092,27660,28201,28826.5,29421,30029.5,30706.5,31384.5,32091,32857.5,33640,34482.5,35368.5,36258,37152.5,38088,39069,40103,41197.5,42348.5,43610.5,44858,46075,47371.5,48764.5,50115.5,51313.5,52397,53423.5,54576,55951.5,57545,59395.5,61446.5,63646,65606.5,67291,69073,71029,73178,75716,78168.5,79681.5,79890.5,78565,76913.5,75814,75276.5,75798.5,76726,76814,75865.5,74367,73537,73651.5,74313.5,75463,76170.5,76285,76237.5,76090
"Age population, age 13, female, interpolated",SP.POP.AG13.FE.IN,Lao PDR,LAO,24494,24905,24723,25733.5,27223.5,27748.5,28345,28905.5,29490.5,30148.5,30795,31469,32203.5,32949.5,33750,34578.5,35399,36228,37100.5,38025.5,39025,40085,41189.5,42398.5,43589.5,44750,45995.5,47332,48632,49782,50808.5,51785.5,52877.5,54186.5,55716.5,57506.5,59502,61481.5,63360.5,65242.5,67069.5,68790,70371,72293.5,74185.5,75011,74985.5,74250.5,73486.5,73016.5,72562.5,72747.5,73370,73756,73313.5,71933.5,70849.5,70755,71529.5,72815,73667.5,73872,73805
"Age population, age 13, male, interpolated",SP.POP.AG13.MA.IN,Lao PDR,LAO,23149.5,23686.5,23301,24999.5,27558.5,28099,28722.5,29315.5,29924,30599.5,31276.5,31983,32749.5,33529,34361.5,35229.5,36094,36967,37893,38879.5,39932,41046,42214,43486.5,44738,45959,47259,48653,50003,51198,52276.5,53299.5,54447.5,55816.5,57402,59244,61288,63213.5,64916,66641.5,68489,70535.5,72774.5,75431,77974.5,79100.5,78859,77585.5,76127.5,75185,74763,75383,76411,76506.5,75499,74123.5,73438.5,73559,74224,75374.5,76084,76201,76155
"Age population, age 14, female, interpolated",SP.POP.AG14.FE.IN,Lao PDR,LAO,23627,24375,24786,24606.5,25614,27099.5,27623,28217.5,28778.5,29362.5,30018,30664,31336.5,32066.5,32796,33565,34355,35143.5,35959,36838.5,37788.5,38818.5,39904.5,41026,42244.5,43443,44610,45859.5,47198.5,48498,49642.5,50662,51631,52715,54013.5,55532.5,57313.5,59175.5,61008.5,62889,64815,66669,68386.5,69927,71865,73610.5,74200,74148,73487.5,72844.5,72499,72128.5,72341.5,72994,73398.5,73078.5,71829.5,70755,70663,71440,72728.5,73581.5,73787.5
"Age population, age 14, male, interpolated",SP.POP.AG14.MA.IN,Lao PDR,LAO,22408.5,23055.5,23591.5,23207.5,24898.5,27448.5,27987.5,28609.5,29202,29809,30483.5,31160.5,31866.5,32629.5,33397.5,34205,35037.5,35872.5,36733,37666,38677,39757.5,40895.5,42078.5,43357,44614,45839.5,47141.5,48535,49881,51069,52141,53157,54296,55654.5,57229,59061,60846,62510.5,64218.5,65986,67900.5,70038,72365.5,75138,77392.5,78058,77748,76603.5,75340,74554.5,74250.5,74970.5,76096,76196.5,75260,74002,73325.5,73450.5,74117.5,75271,75983,76100.5
"Age population, age 15, female, interpolated",SP.POP.AG15.FE.IN,Lao PDR,LAO,22686.5,23505,24251.5,24662,24485,25490,26969,27490.5,28085,28645,29227.5,29883,30527,31194,31901.5,32586.5,33300.5,34044,34814.5,35642,36555.5,37547.5,38615.5,39725,40859,42088,43295,44467.5,45719.5,47057,48348,49480.5,50487.5,51445,52515,53798,55303,56958.5,58707.5,60526,62407,64380.5,66264.5,67978.5,69478,71263.5,72825.5,73348,73307,72721.5,72202.5,71981,71692.5,71933.5,72616,73147.5,72943,71707,70636.5,70548,71329.5,72618.5,73472
"Age population, age 15, male, interpolated",SP.POP.AG15.MA.IN,Lao PDR,LAO,21607,22308,22955.5,23488.5,23102.5,24787,27326,27864,28486,29077,29682.5,30356.5,31033,31735,32484,33218,33975,34765.5,35583,36454,37421,38471.5,39586,40745,41937,43223,44486.5,45715.5,47017,48404.5,49740.5,50918.5,51979,52982.5,54108,55451.5,57012,58581.5,60125.5,61797.5,63512,65322.5,67304.5,69532,71945.5,74517,76407.5,76931,76631,75617.5,74548.5,73922,73737.5,74554.5,75776,75979.5,75107,73860.5,73190.5,73318,73990,75147,75857.5
"Age population, age 16, female, interpolated",SP.POP.AG16.FE.IN,Lao PDR,LAO,21771.5,22562.5,23379,24123,24533,24359,25359.5,26832,27354,27947,28504.5,29086.5,29740,30378,31015.5,31662.5,32274,32927,33646,34432,35305.5,36276,37319,38418.5,39544.5,40692,41932,43146,44321.5,45569.5,46894,48168,49282.5,50273,51211.5,52260.5,53524.5,54908,56464.5,58230.5,60034,61919.5,63943.5,65857,67566.5,68977,70574,72000,72491,72461,71953.5,71559,71461.5,71255.5,71524.5,72326,72977,72787,71557,70491.5,70409,71192,72481
"Age population, age 16, male, interpolated",SP.POP.AG16.MA.IN,Lao PDR,LAO,20838.5,21499,22201.5,22844,23368,22985.5,24662,27189.5,27727,28347,28937,29542.5,30216,30888,31572.5,32276,32942,33641.5,34408,35240.5,36157.5,37178,38273.5,39416,40588.5,41791.5,43086.5,44354,45582,46876.5,48250.5,49571,50732.5,51776.5,52762,53867.5,55191.5,56492.5,57823.5,59393.5,61073.5,62795.5,64650,66697.5,69012.5,71382.5,73690,75347.5,75795.5,75507,74624.5,73752.5,73287,73219.5,74131.5,75489,75787,74929.5,73692,73025.5,73161,73838.5,74992
